Peptic Ulcer,Chronic ulcer of stomach or duodenum,K27,Abdominal pain;Heartburn;Nausea;Hematemesis,Moderate-End stage,Endoscopy;H. pylori test;CBC,Proton pump inhibitors;H. pylori eradication;Surgery,NSAID use;Smoking,Gradual,Adults,Visible ulcer on endoscopy
Cholelithiasis,Gallstones,K80,Right upper quadrant pain;Nausea;Vomiting;Fat intolerance,Moderate,Ultrasound;Liver function tests,Surgery;Pain management,Obesity;Female sex,Gradual,Adults,Gallstones on ultrasound
Chronic Kidney Disease,Progressive kidney damage,N18,Fatigue;Swelling;Reduced urine output;Hypertension,Moderate-Severe,Blood urea;Creatinine;Ultrasound,Diet modification;Dialysis;Medications,Diabetes;Hypertension,Gradual,Adults,Small kidneys on USG
Iron Deficiency Anemia,Low iron D50,Fatigue;Pallor;Dyspnea on exertion;Dizziness,Mild-Moderate,CBC;Iron studies,Iron supplementation;Diet modification,Chronic blood loss;Pregnancy,Gradual,All ages,Pallor on exam
Vitamin D Deficiency,Low vitamin D,E55,Fatigue;Bone pain;Muscle weakness,Mild,25-OH Vitamin D,Vitamin D supplementation;Sunlight exposure,Osteoporosis,Gradual,All ages,Normal
Atopic Dermatitis,Chronic skin inflammation,L20,Pruritus;Erythema;Scaling;Lichenification,Mild-Moderate,Clinical assessment,Topical corticosteroids;Moisturizers,Allergic rhinitis;Asthma,Chronic,Children;Adults,Rash on skin
Psoriasis,Chronic autoimmune skin disorder,L40,Red plaques;Scaling;Itching;Nail changes,Moderate-High,Clinical assessment;Skin biopsy,Topical corticosteroids;Biologics,Arthritis,Gradual,Adults,Rash plaques
Acne Vulgaris,Common skin disorder,L70,Comedones;Papules;Pustules;Scarring,Mild-Moderate,Clinical assessment,Topical retinoids;Antibiotics,Hormonal disorders,Gradual,Adolescents,Rash on face/back
Influenza,Seasonal viral infection,J10,Fever;Cough;Sore throat;Body aches;Fatigue,Mild-Moderate,Rapid antigen test;PCR,Antivirals;Supportive care,Elderly;Chronic lung disease,Acute,All ages,Normal
COVID-19,Acute viral infection,U07.1,Fever;Cough;Shortness of breath;Loss of taste/smell;Fatigue,Moderate-Severe,PCR;Chest CT,Supportive care;Oxygen therapy;Antivirals,Diabetes;Hypertension,Acute,Adults,Ground-glass opacities on CT
Pneumonia,Acute lung infection,J18,Fever;Cough;Dyspnea;Sputum production;Chest pain,Moderate-Severe,Chest X-ray;CBC;Blood cultures,Antibiotics;Supportive care,Chronic lung disease,Acute,All ages,CXR: Consolidation
Urinary Stones,Kidney or ureter stones,N20,Flank pain;Hematuria;Nausea;Vomiting,Moderate-High,Ultrasound;CT,Kidney stone removal;Pain management,Dehydration;Hypercalcemia,Acute,Adults,Stone on imaging
Disease,Description,ICD10,Symptoms,Severity,Tests,Treatments,Comorbidities,SymptomOnset,DemographicRisks,MockImageFindings
Acute Myocardial Infarction,Sudden blockage of coronary artery,I21,Severe chest pain;Radiating arm/jaw pain;Shortness of breath;Nausea;Cold sweat,Severe,ECG;Troponin levels;Coronary angiography,PCI;Thrombolytics;Antiplatelets,Hypertension;Diabetes,Acute,Adults over 40,CXR: Possible pulmonary edema
Heart Failure,Chronic cardiac pump failure,I50,Shortness of breath;Fatigue;Peripheral edema;Orthopnea,Severe,Echocardiography;BNP levels,Diuretics;ACE inhibitors;Beta-blockers,Hypertension;Coronary artery disease,Gradual,Adults over 50,CXR: Cardiomegaly;Pulmonary congestion
Stroke (Ischemic),Sudden cerebral artery occlusion,I63,Sudden numbness/weakness of face/arm/leg;Confusion;Trouble speaking;Vision problems,Severe,CT/MRI brain;Blood tests,Thrombolysis;Antiplatelets;Rehabilitation,Hypertension;Diabetes;Atrial fibrillation,Acute,Adults over 50,MRI: Infarcted area
Stroke (Hemorrhagic),Bleeding into brain tissue,I61,Severe headache;Vomiting;Sudden weakness;Loss of consciousness,Severe,CT/MRI brain;Blood pressure monitoring,Surgery;Blood pressure control,Hypertension;Amyloid angiopathy,Acute,Adults over 50,CT: Intracerebral bleed
COPD (Severe),Chronic obstructive airway disease,J44,Chronic cough;Dyspnea;Wheezing;Fatigue;Recurrent infections,Severe,Spirometry;Chest X-ray;CT scan,Oxygen therapy;Bronchodilators;Pulmonary rehab,Smoking;Asthma;Environmental exposure,Chronic,Adults over 50,CT: Hyperinflated lungs;Emphysematous changes
Lung Cancer,Malignant tumor of the lungs,C34,Persistent cough;Hemoptysis;Dyspnea;Chest pain;Weight loss,Severe,CT scan;Biopsy;PET scan,Surgery;Chemotherapy;Radiotherapy,Smoking;COPD,Gradual,Adults over 50,CT: Mass lesion;Possible metastases
Colorectal Cancer,Malignant tumor of colon/rectum,C18,Crazy change in bowel habits;Blood in stool;Abdominal pain;Weight loss,Severe,Colonoscopy;CT abdomen;CEA levels,Surgery;Chemotherapy;Radiotherapy,Inflammatory bowel disease;Family history,Gradual,Adults over 50,Colonoscopy: Tumor visualization
Breast Cancer,Malignant tumor of breast,C50,Painless lump;Skin dimpling;Nipple discharge;Lymphadenopathy,Severe,Mammography;Ultrasound;Biopsy,Surgery;Chemotherapy;Radiotherapy,BRCA mutation carriers;Obesity,Gradual,Women over 40,Mammogram: Mass or microcalcifications
Pancreatic Cancer,Malignant tumor of pancreas,C25,Abdominal/back pain;Jaundice;Weight loss;New-onset diabetes,Severe,CT/MRI abdomen;CA19-9,Surgery;Chemotherapy;Palliative care,Smoking;Chronic pancreatitis,Gradual,Adults over 50,CT: Pancreatic mass
Chronic Kidney Disease (Stage 4-5),Progressive renal failure,N18.4,Nausea;Fatigue;Edema;Reduced urine output;Hypertension,Severe,Blood urea;Creatinine;Ultrasound,Dialysis;Transplant;Medications,Diabetes;Hypertension,Gradual,Adults over 50,Ultrasound: Shrunken kidneys
Liver Cirrhosis,Chronic liver scarring,K74,Jaundice;Ascites;Fatigue;Easy bruising;Confusion,Severe,LFTs;Ultrasound;CT scan,Diuretics;Liver transplant;Lifestyle modification,Hepatitis;Alcoholism,Gradual,Adults over 40,USG: Nodular liver;Ascites
Hepatocellular Carcinoma,Liver cancer,C22,Abdominal pain;Weight loss;Jaundice;Hepatomegaly,Severe,Ultrasound;CT/MRI abdomen;AFP levels,Surgery;Transplant;Chemotherapy,Hepatitis B/C;Cirrhosis,Gradual,Adults over 40,CT: Liver mass
Leukemia (Acute),Bone marrow malignancy,C91,Fatigue;Fever;Bleeding;Infections;Bone pain,Severe,CBC;Bone marrow biopsy;Flow cytometry,Chemotherapy;Bone marrow transplant,Genetic predisposition,Acute,All ages,Bone marrow biopsy: Blast cells
Lymphoma,Hematologic malignancy,C85,Lymphadenopathy;Fever;Night sweats;Weight loss,Severe,CT/PET;Lymph node biopsy,Chemotherapy;Radiotherapy;Immunotherapy,Immune deficiency;Family history,Gradual,Adults,Biopsy: Malignant lymphocytes
Parkinson's Disease,Progressive movement disorder,G20,Tremor at rest;Bradykinesia;Rigidity;Balance problems,Severe,Clinical assessment;MRI brain;DaT scan,Levodopa;Dopamine agonists;Physiotherapy,Older age;Family history,Gradual,Older adults,MRI: Substantia nigra changes
Epilepsy,Chronic seizure disorder,G40,Seizures;Loss of consciousness;Aura;Postictal confusion,Moderate-Severe,EEG;MRI brain,Antiepileptic drugs,Trauma;Genetic predisposition,Acute/Chronic,All ages,EEG: Epileptiform discharges
HIV/AIDS,Immune deficiency due to HIV,B20,Fever;Weight loss;Chronic diarrhea;Oral thrush;Opportunistic infections,Severe,ELISA;PCR;CD4 count,Antiretroviral therapy,TB;Hepatitis;STD,Gradual,Adults,Normal
Sepsis,Systemic infection with organ dysfunction,A41,Fever;Tachycardia;Hypotension;Confusion;Low urine output,Severe,Blood cultures;Lactate levels,IV antibiotics;Supportive care,Chronic illness;Immune deficiency,Acute,All ages,Normal
Meningitis,Inflammation of meninges,G00,Severe headache;Neck stiffness;Fever;Photophobia;Confusion,Severe,Lumbar puncture;CSF analysis,IV antibiotics;Supportive care,Immune deficiency;Young age,Acute,Children;Young adults,CSF: Increased WBC
Encephalitis,Brain inflammation,G04,Fever;Altered consciousness;Seizures;Focal neurological deficits,Severe,CSF analysis;MRI brain,Antivirals;Supportive care,Viral infections;Immunocompromised,Acute,All ages,MRI: Brain edema
Rabies,Viral CNS infection,A82,Hydrophobia;Agitation;Fever;Paralysis;Coma,Severe,Clinical assessment;Serology,Post-exposure prophylaxis,None,Acute,All ages,Normal
Ebola,Viral hemorrhagic fever,A98,Fever;Bleeding;Diarrhea;Vomiting;Multi-organ failure,Severe,Labs;PCR,Supportive care;Experimental antivirals,None,Acute,Adults,Normal
Major Depressive Disorder,Persistent low mood, anhedonia, and functional impairment,F32,Low mood;Loss of interest;Fatigue;Sleep disturbances;Appetite changes;Guilt,Moderate-Severe,Clinical assessment;PHQ-9 questionnaire,SSRIs;CBT;Lifestyle modifications,Anxiety;Chronic illness,Gradual;Adults;History of trauma;Normal
Bipolar Disorder,Periodic mood swings between mania and depression,F31,Depressive episodes: low mood, fatigue;Manic episodes: elevated mood, hyperactivity;Irritability;Impulsivity,Severe,Clinical assessment;Mood diaries;Psychiatric evaluation,Mood stabilizers;Antipsychotics;Therapy,Substance abuse;Family history,Variable;Young adults;Genetic predisposition;Normal
Generalized Anxiety Disorder,Chronic excessive anxiety,F41,Worry;Restlessness;Fatigue;Muscle tension;Sleep disturbances,Mild-Moderate,Clinical assessment;GAD-7 questionnaire,CBT;SSRIs;Relaxation therapy,Depression;Chronic pain,Gradual,Adults;Stressful life events,Normal
Hypertensive Heart Disease,Heart complications from chronic high blood pressure,I11,Chest pain;Shortness of breath;Palpitations;Fatigue;Edema,Moderate-Severe,Blood pressure monitoring;ECG;Echocardiography,ACE inhibitors;Beta-blockers;Lifestyle changes,Diabetes;CKD,Gradual,Adults over 40;Obesity,CXR: Cardiomegaly;Left ventricular hypertrophy
Coronary Artery Disease,Coronary artery narrowing causing ischemia,I25,Angina;Shortness of breath;Fatigue;Palpitations,Severe,ECG;Stress test;Coronary angiography,PCI;CABG;Statins;Antiplatelets,Hypertension;Diabetes;Smoking,Gradual,Adults over 40,Male>CXR: Possible pulmonary congestion
Heart Failure (Chronic),Reduced cardiac output with congestion,I50,Dyspnea;Orthopnea;Peripheral edema;Fatigue;Cough on exertion,Severe,Echocardiography;BNP levels;Chest X-ray,ACE inhibitors;Beta-blockers;Diuretics;Device therapy,Hypertension;CAD;Diabetes,Gradual,Adults over 50,CXR: Cardiomegaly;Pulmonary congestion
Myocardial Infarction,Sudden coronary artery blockage,I21,Severe chest pain;Radiating arm/jaw pain;Shortness of breath;Sweating;Nausea,Severe,ECG;Troponin levels;Coronary angiography,PCI;Thrombolytics;Antiplatelets,Hypertension;Diabetes;Smoking,Acute,Adults over 40,CXR: Possible pulmonary edema
Chronic Kidney Disease (Stage 1-5),Progressive renal function loss,N18,Fatigue;Edema;Polyuria;Anorexia;Nausea;Hypertension,Moderate-Severe,Blood urea;Serum creatinine;Urinalysis;Ultrasound,Diet modification;ACE inhibitors;Dialysis;Transplant,Diabetes;Hypertension;CVD,Gradual,Adults over 50,Ultrasound: Shrunken or cystic kidneys
Acute Kidney Injury,Sudden kidney function decline,N17,Oliguria/anuria;Fatigue;Nausea;Confusion;Fluid overload,Severe,Blood urea;Creatinine;Urine output monitoring;Electrolytes,IV fluids;Dialysis;Treat underlying cause,Sepsis;Nephrotoxic drugs,Acute,Hospitalized patients,Ultrasound: Swollen kidneys
Polycystic Kidney Disease,Genetic kidney cyst formation,N18.1,Flank pain;Hematuria;Hypertension;Kidney enlargement;Fatigue,Moderate-Urgent,Ultrasound;CT scan;Genetic testing,Blood pressure control;Pain management;Renal transplant,Family history,Gradual,Adults;Genetic predisposition,Ultrasound: Multiple cysts
Nephrotic Syndrome,Glomerular disease causing proteinuria,N04,Edema (periorbital, ankle);Proteinuria;Hypoalbuminemia;Fatigue,Moderate-Severe,Blood tests;Urinalysis;Kidney biopsy,Steroids;Immunosuppressants;ACE inhibitors,Diabetes;Infections,Gradual,Children and adults;Lab: Massive proteinuria
Nephritic Syndrome,Inflammatory glomerular disorder,N05,Hematuria;Oliguria;Hypertension;Edema;Fatigue,Moderate-Severe,Blood tests;Urinalysis;Kidney biopsy,Immunosuppressants;Blood pressure control,Infections;Autoimmune disease,Acute or gradual,Children and adults,Lab: Hematuria;RBC casts
Depression secondary to chronic illness,Mood disorder associated with chronic disease,F32.9,Low mood;Fatigue;Loss of interest;Appetite changes;Sleep problems,Moderate- Severe,Clinical assessment;PHQ-9,CBT;SSRIs;Supportive therapy,CKD;Heart failure,Gradual,Adults with chronic illness,Normal
Resistant Hypertension,High blood pressure not controlled by 3+ medications,I15,Headache;Dizziness;Blurred vision;Fatigue,Severe,Blood pressure monitoring;Renal function tests,Addition of antihypertensives;Lifestyle changes,CKD;Diabetes,Gradual,Adults over 40,Normal
Diabetic Nephropathy,Kidney damage due to diabetes,N08,Proteinuria;Edema;Fatigue;Hypertension,Moderate-Severe,Blood glucose;Urine albumin;Creatinine,ACE inhibitors;Blood sugar control;Diet modification,Type 2 Diabetes,Gradual,Adults over 40;Long-standing diabetes,Lab: Proteinuria;Shrunken kidneys
Acute Coronary Syndrome,Spectrum of heart ischemia including MI,I20-I22,Chest pain;Dyspnea;Nausea;Sweating,Severe,ECG;Troponin;Coronary angiography,PCI;Antiplatelets;Thrombolysis,Hypertension;Diabetes;Smoking,Acute,Adults over 40,CXR: Pulmonary edema possible
Dilated Cardiomyopathy,Heart muscle weakening leading to poor output,I42,Fatigue;Dyspnea;Peripheral edema;Palpitations;Orthopnea,Severe,Echocardiography;ECG;BNP,Beta-blockers;ACE inhibitors;Transplant,Hypertension;Diabetes;CAD,Gradual,Adults,CXR: Enlarged heart
Hypertrophic Cardiomyopathy,Genetic thickening of heart muscle,I42.1,Exertional dyspnea;Chest pain;Palpitations;Syncope,Moderate-Severe,Echocardiography;Genetic testing,Beta-blockers;Calcium channel blockers;Surgery,Family history;Sudden cardiac death risk,Gradual,Adolescents-Adults,Echo: Asymmetric septal hypertrophy
Influenza (Seasonal Flu),Acute respiratory infection caused by influenza viruses,J10,Fever;Chills;Cough;Sore throat;Myalgia;Fatigue,Mild-Moderate,Rapid influenza diagnostic test;PCR,Antivirals (Oseltamivir);Supportive care,Asthma;COPD;Elderly,Acute,All ages;Pregnant women;Elderly,Normal
COVID-19,Respiratory infection caused by SARS-CoV-2,U07.1,Fever;Cough;Fatigue;Loss of taste/smell;Shortness of breath;Sore throat;Chest pain,Moderate-Severe,PCR;Rapid antigen test;CT chest,Supportive care;Oxygen therapy;Antivirals;Steroids,Diabetes;Hypertension;Elderly,Acute,Adults;Elderly;Immunocompromised,CT: Ground-glass opacities
Dengue Fever,Viral hemorrhagic fever caused by dengue virus,A90,High fever;Severe headache;Retro-orbital pain;Myalgia;Rash;Bleeding in severe cases,Mild-Severe,NS1 antigen;PCR;Complete blood count,Supportive care;Fluids;Paracetamol,Previous dengue infection;Children;Adults in endemic regions,Acute,Tropical regions;All ages,Labs: Thrombocytopenia
Severe Dengue (Dengue Hemorrhagic),Life-threatening dengue,A91,Plasma leakage;Hemorrhage;Shock;Severe abdominal pain;Persistent vomiting,Severe,NS1 antigen;PCR;CBC;Hematocrit,Hospitalization;IV fluids;Blood transfusion,Previous dengue;Children;Adults in endemic regions,Acute,Tropical regions,Labs: Hemoconcentration;Low platelets
Chikungunya Virus Infection,Arthropod-borne viral infection,B30.0,Fever;Severe joint pain;Rash;Headache;Fatigue,Mild-Moderate,PCR;Serology,Supportive care;Analgesics;Hydration,Arthritis;Elderly,Acute,Adults;Tropical regions,Labs: Mild lymphopenia
Zika Virus Infection,Viral infection transmitted by Aedes mosquitoes,A92.5,Fever;Rash;Conjunctivitis;Muscle pain;Joint pain;Headache,Mild,Serology;PCR,Supportive care;Hydration,Pregnancy risk;Microcephaly in fetus,Acute,Pregnant women;Adults,Labs: Mild leukopenia
Yellow Fever,Flavivirus causing systemic infection,A95,Fever;Jaundice;Muscle pain;Nausea;Vomiting;Dark urine;Bleeding,Severe,Serology;PCR;Liver function tests,Supportive care;Fluids;Hospitalization,Non-immunized travelers;Tropical regions,Acute,Adults;Travelers to endemic areas,Labs: Elevated liver enzymes
Ebola Virus Disease,Severe viral hemorrhagic fever,A98.4,Fever;Severe weakness;Diarrhea;Vomiting;Bleeding;Multi-organ failure,Severe,RT-PCR;Serology;CBC,Supportive care;IV fluids;Experimental antivirals,Healthcare workers;Travelers to endemic areas,Acute,Adults,Labs: Hemorrhagic labs;Low platelets
Hantavirus Pulmonary Syndrome,Viral pulmonary infection,B33.0,Fever;Muscle aches;Cough;Shortness of breath;Shock,Severe,Serology;PCR;Chest X-ray,Supportive care;Oxygen;ICU,Exposure to rodent excreta,Acute,Adults in rural areas,CXR: Pulmonary edema
Respiratory Syncytial Virus Infection,Common viral infection in children,B97.4,Fever;Cough;Wheezing;Runny nose;Respiratory distress,Mild-Moderate,PCR;Rapid antigen test,Supportive care;Oxygen therapy;Fluids,Prematurity;Infants,Acute,Infants;Young children,Normal
Measles,Viral infection causing systemic rash,B05,Fever;Cough;Conjunctivitis;Koplik spots;Rash,Mild-Severe,Serology;PCR,Vaccination;Supportive care,Immunocompromised;Unvaccinated,Acute,Children;Unvaccinated,Labs: Leukopenia
Mumps,Viral infection of salivary glands,B26,Fever;Parotid gland swelling;Headache;Muscle aches,Mild-Moderate,Serology;PCR,Supportive care;Pain relief,Immunocompromised;Unvaccinated,Acute,Children;Unvaccinated,Labs: Mild leukocytosis
Rubella,Viral rash illness,B06,Fever;Rash;Lymphadenopathy;Mild joint pain,Mild,Serology;PCR,Supportive care;Vaccination,Pregnant women;Unvaccinated,Acute,Children;Adults unvaccinated,Labs: Normal
Typhoid Fever,Bacterial systemic infection caused by Salmonella Typhi,A01.0,Fever;Abdominal pain;Rose spots;Headache;Constipation or diarrhea,Moderate-Severe,Blood culture;Widal test;Stool culture,Antibiotics (Ceftriaxone);Hydration,Immunocompromised;Travelers,Gradual,Travelers;Developing countries,Labs: Leukopenia;Positive blood culture
Cholera,Acute diarrheal infection caused by Vibrio cholerae,A00,Profuse watery diarrhea;Severe dehydration;Leg cramps;Hypovolemic shock,Severe,Stool culture;Electrolytes,Oral/IV rehydration;Antibiotics in severe cases,Children;Poor sanitation areas,Acute,Endemic regions,Labs: Dehydration markers
Malaria,Parasitic infection causing cyclical fevers,B50-B54,High fever;Chills;Sweats;Headache;Nausea;Anemia;Jaundice in severe falciparum,Moderate-Severe,Blood smear;Rapid diagnostic test,Antimalarials (Artemisinin combination therapy),Pregnancy;Children;Travelers to endemic regions,Acute,Endemic regions,Labs: Parasitemia on smear
Respiratory Viral Infection (Common Cold),Mild viral upper respiratory infection,J00,Sneezing;Runny nose;Sore throat;Cough;Mild fever,Mild,Clinical assessment;Rapid antigen tests,Supportive care;Fluids;Rest,Asthma;Children,Acute,All ages,Normal
Malaria,Parasitic infection causing cyclical fever,B50-B54,High fever;Chills;Sweats;Headache;Nausea;Anemia;Jaundice in severe falciparum,Moderate-Severe,Blood smear;Rapid diagnostic test,Antimalarials (Artemisinin combination therapy),Pregnancy;Children;Travelers to endemic regions,Acute,Endemic regions,Labs: Parasitemia on smear
Dengue Fever,Viral hemorrhagic fever caused by dengue virus,A90,High fever;Severe headache;Retro-orbital pain;Myalgia;Rash;Bleeding in severe cases,Mild-Severe,NS1 antigen;PCR;Complete blood count,Supportive care;Fluids;Paracetamol,Previous dengue infection;Children;Adults in endemic regions,Acute,Tropical regions;All ages,Labs: Thrombocytopenia
Severe Dengue (Dengue Hemorrhagic),Life-threatening dengue,A91,Plasma leakage;Hemorrhage;Shock;Severe abdominal pain;Persistent vomiting,Severe,NS1 antigen;PCR;CBC;Hematocrit,Hospitalization;IV fluids;Blood transfusion,Previous dengue;Children;Adults in endemic regions,Acute,Tropical regions,Labs: Hemoconcentration;Low platelets
Typhoid Fever,Bacterial systemic infection caused by Salmonella Typhi,A01.0,Fever;Abdominal pain;Rose spots;Headache;Constipation or diarrhea,Moderate-Severe,Blood culture;Widal test;Stool culture,Antibiotics (Ceftriaxone);Hydration,Immunocompromised;Travelers,Gradual,Travelers;Developing countries,Labs: Leukopenia;Positive blood culture
Cholera,Acute diarrheal infection caused by Vibrio cholerae,A00,Profuse watery diarrhea;Severe dehydration;Leg cramps;Hypovolemic shock,Severe,Stool culture;Electrolytes,Oral/IV rehydration;Antibiotics in severe cases,Children;Poor sanitation areas,Acute,Endemic regions,Labs: Dehydration markers
Ebola Virus Disease,Severe viral hemorrhagic fever,A98.4,Fever;Severe weakness;Diarrhea;Vomiting;Bleeding;Multi-organ failure,Severe,RT-PCR;Serology;CBC,Supportive care;IV fluids;Experimental antivirals,Healthcare workers;Travelers to endemic areas,Acute,Adults,Labs: Hemorrhagic labs;Low platelets
Yellow Fever,Flavivirus causing systemic infection,A95,Fever;Jaundice;Muscle pain;Nausea;Vomiting;Dark urine;Bleeding,Severe,Serology;PCR;Liver function tests,Supportive care;Fluids;Hospitalization,Non-immunized travelers;Tropical regions,Acute,Adults;Travelers to endemic areas,Labs: Elevated liver enzymes
Lassa Fever,Acute viral hemorrhagic fever,A98.1,Fever;Weakness;Headache;Muscle pain;Bleeding;Vomiting,Severe,Serology;PCR;CBC,Supportive care;IV fluids;Ribavirin,Healthcare workers;Travelers to endemic areas,Acute,West Africa,Labs:Low platelets;Elevated liver enzymes
Septicemia (Sepsis),Blood infection leading to systemic inflammatory response,A41,Fever;Rapid heart rate;Rapid breathing;Confusion;Low urine output;Hypotension,Severe,Blood cultures;CBC;Lactate,IV antibiotics;Fluids;ICU care,Immunocompromised;Elderly,Acute,Adults;Hospitalized patients,Labs: Leukocytosis;Blood culture positive
Influenza (Seasonal Flu),Acute respiratory infection caused by influenza viruses,J10,Fever;Chills;Cough;Sore throat;Myalgia;Fatigue,Mild-Moderate,Rapid influenza diagnostic test;PCR,Antivirals (Oseltamivir);Supportive care,Asthma;COPD;Elderly,Acute,All ages;Pregnant women;Elderly,Normal
COVID-19,Respiratory infection caused by SARS-CoV-2,U07.1,Fever;Cough;Fatigue;Loss of taste/smell;Shortness of breath;Sore throat;Chest pain,Moderate-Severe,PCR;Rapid antigen test;CT chest,Supportive care;Oxygen therapy;Antivirals;Steroids,Diabetes;Hypertension;Elderly,Acute,Adults;Elderly;Immunocompromised,CT: Ground-glass opacities
Hantavirus Pulmonary Syndrome,Viral pulmonary infection,B33.0,Fever;Muscle aches;Cough;Shortness of breath;Shock,Severe,Serology;PCR;Chest X-ray,Supportive care;Oxygen;ICU,Exposure to rodent excreta,Acute,Adults in rural areas,CXR: Pulmonary edema
Typhus (Rickettsial Infection),Rickettsial infection transmitted by lice or fleas,A75,Fever;Headache;Rash;Muscle aches;Confusion,Mild-Severe,Serology;PCR,Antibiotics (Doxycycline);Supportive care,Immunocompromised;Travelers,Acute,Tropical regions,Labs: Thrombocytopenia
Brucellosis,Bacterial zoonotic infection causing undulant fever,A23,Fever;Night sweats;Fatigue;Arthralgia;Malaise,Moderate,Blood cultures;Serology,Antibiotics (Doxycycline + Rifampin),Farmers;Animal handlers,Gradual,Rural areas;Occupational risk,Labs: Leukopenia;Elevated ESR
Mononucleosis (EBV Infection),Viral systemic infection,B27,Fever;Sore throat;Fatigue;Swollen lymph nodes;Headache,Mild-Moderate,Serology;CBC,Supportive care;Fluids;Rest,Immunocompromised;Teens/Young adults,Gradual,Adolescents;Young adults,Labs: Lymphocytosis;Atypical lymphocytes
Leptospirosis,Bacterial zoonotic infection causing febrile illness,A27,Fever;Headache;Muscle aches;Jaundice;Renal impairment,Moderate-Severe,Blood culture;Serology,Antibiotics (Doxycycline/ Penicillin);Supportive care,Exposure to contaminated water;Farmers,Acute,Tropical regions;Rural areas,Labs: Elevated creatinine;Leukocytosis
Rickettsial Spotted Fever,Fever with rash due to tick-borne bacteria,A77,Fever;Rash;Headache;Muscle pain;Nausea,Mild-Moderate,Serology;PCR,Antibiotics (Doxycycline),Travelers;Outdoor workers,Acute,Endemic regions,Labs: Thrombocytopenia
Cytomegalovirus Infection,Herpesvirus causing systemic fever,B25,Fever;Fatigue;Malaise;Sore throat;Muscle aches,Mild-Moderate,Serology;PCR,Supportive care;Antivirals in severe cases,Immunocompromised;Pregnant women,Gradual,Adults;Immunocompromised,Labs: Lymphocytosis
Iron Deficiency Anemia,Most common anemia due to low iron,D50,Fatigue;Pallor;Shortness of breath;Headache;Brittle nails,Mild-Moderate,Complete blood count;Serum ferritin;Iron studies,Oral/IV iron supplementation;Diet modification,Chronic blood loss;Pregnancy;Vegetarians,Gradual,Women of reproductive age;Children,Labs: Microcytic hypochromic anemia
Vitamin B12 Deficiency Anemia,Anemia due to B12 deficiency,D51,Fatigue;Pallor;Glossitis;Paresthesia;Balance issues,Moderate-Severe,Serum B12;Methylmalonic acid;CBC,Vitamin B12 injections or oral supplementation,Vegetarians;Elderly;Pernicious anemia,Gradual,Elderly;Vegetarians,Labs: Macrocytic anemia;Hypersegmented neutrophils
Folate Deficiency Anemia,Anemia due to folate deficiency,D52,Fatigue;Pallor;Glossitis;Shortness of breath,Mild-Moderate,Serum folate;CBC,Folate supplementation,Alcoholism;Pregnancy;Malnutrition,Gradual,Pregnant women;Malnourished,Labs: Macrocytic anemia
Sickle Cell Disease,Genetic hemoglobin disorder causing sickling,D57,Fatigue;Pain crises;Jaundice;Swelling of hands/feet;Anemia,Severe,Hemoglobin electrophoresis;CBC;Reticulocyte count,Pain management;Hydroxyurea;Blood transfusions,Family history;African descent,Acute & Chronic,Children;Adults,Labs: Sickled RBCs on smear
Thalassemia,Genetic disorder causing defective hemoglobin production,D56,Fatigue;Pallor;Bone deformities;Splenomegaly,Moderate-Severe,Hemoglobin electrophoresis;CBC,Blood transfusions;Iron chelation;Bone marrow transplant,Family history;Mediterranean,Gradual,Children;High-risk ethnic groups,Labs: Microcytic anemia;Target cells
Aplastic Anemia,Failure of bone marrow to produce blood cells,D61,Fatigue;Pallor;Infections;Easy bruising;Bleeding,Severe,CBC;Bone marrow biopsy,Blood transfusions;Immunosuppressants;Bone marrow transplant,Exposure to chemicals;Radiation;Drugs,Gradual,Adults;Children,Labs: Pancytopenia
Hemophilia A,Bleeding disorder due to factor VIII deficiency,D66,Excessive bleeding;Bruising;Joint swelling;Hemarthrosis,Severe,Coagulation factor assays;Genetic testing,Factor VIII replacement;Avoid trauma,Family history;Male gender,Acute,Children;Male,Labs: Prolonged aPTT;Normal PT
Hemophilia B,Bleeding disorder due to factor IX deficiency,D67,Excessive bleeding;Bruising;Joint swelling;Hemarthrosis,Severe,Coagulation factor assays;Genetic testing,Factor IX replacement;Avoid trauma,Family history;Male gender,Acute,Children;Male,Labs: Prolonged aPTT;Normal PT
Von Willebrand Disease,Most common inherited bleeding disorder,D68,Easy bruising;Nosebleeds;Heavy menstrual bleeding;Mucosal bleeding,Mild-Moderate,Von Willebrand factor assay;CBC;PT/aPTT,Desmopressin;Replacement therapy,Family history;Females may show more symptoms,Chronic,All ages,Labs: Low VWF levels;Prolonged bleeding time
Leukemia (Acute Myeloid),Rapid proliferation of abnormal myeloid cells,C92.0,Fever;Fatigue;Bruising;Frequent infections;Bone pain,Severe,CBC;Bone marrow biopsy;Flow cytometry,Chemotherapy;Targeted therapy;Bone marrow transplant,Genetic predisposition;Radiation exposure,Acute,Adults & Children,Labs: Blasts in peripheral smear
Leukemia (Acute Lymphoblastic),Rapid proliferation of lymphoid blasts,C91.0,Fever;Fatigue;Pallor;Easy bruising;Bone pain,Severe,CBC;Bone marrow biopsy;Flow cytometry,Chemotherapy;Bone marrow transplant,Genetic predisposition;Children high-risk,Acute,Children;Adults,Labs: Lymphoblasts in smear
